Municipio,Cantidad_Especies,Categoría 
Agua de Dios,1,VU
Albán,43,VU
Anapoima,2,VU
Anolaima,27,VU
Apulo,7,VU
Arbeláez,4,VU
Beltrán,11,VU
Bituima,9,VU
Bojacá,20,VU
Cabrera,54,VU
Cajicá,3,VU
Caparrapí,11,VU
Caqueza,6,VU
Carmen de Carupa,2,VU
Chaguani,1,VU
Chía,40,VU
Chipaque,96,VU
Choachí,962,VU
Chocontá,84,VU
Cogua,34,VU
Cota,38,VU
El Colegio,15,VU
Facatativá,10,VU
Fomeque,2814,VU
Fosca,1,VU
Funza,1,VU
Fuquene,21,VU
Fusagasugá,36,VU
Gachalá,1,VU
Gachancipá,1,VU
Gacheta,8,VU
Gama,2,VU
Girardot,5,VU
Granada,3,VU
Guachetá,1,VU
Guaduas,20,VU
Guasca,901,VU
Guatavita,851,VU
Guayabal de Siquima,29,VU
Guayabetal,483,VU
Junín,111,VU
La Calera,2237,VU
La Mesa,20,VU
La Palma,4,VU
La Peña,1,VU
La Vega,46,VU
Lenguazaque,8,VU
Machetá,5,VU
Madrid,5,VU
Medina,273,VU
Mosquera,11,VU
Nariño,1,VU
Nemocón,1,VU
Nilo,45,VU
Nocaima,2,VU
Pacho,18,VU
Paime,2,VU
Paratebueno,6,VU
Pasca,30,VU
Puerto Salgar,5,VU
Quebradanegra,7,VU
Quetame,11,VU
Quipile,4,VU
Ricaurte,2,VU
San Antonio del Tequendama,464,VU
San Cayetano,3,VU
San Francisco,18,VU
San Juan de Río Seco,1,VU
Sasaima,6,VU
Sesquilé,11,VU
Sibaté,12,VU
Silvania,16,VU
Soacha,83,VU
Sopo,7,VU
Subachoque,8,VU
Suesca,5,VU
Supatá,3,VU
Susa,1,VU
Tabio,11,VU
Tausa,37,VU
Tena,214,VU
Tenjo,3,VU
Tibacuy,160,VU
Tocaima,1,VU
Tocancipá,17,VU
Topaipí,1,VU
Ubala,69,VU
Ubaque,179,VU
Une,30,VU
Útica,12,VU
Villa de San Diego de Ubaté,2,VU
Villapinzón,12,VU
Villeta,5,VU
Viotá,13,VU
Yacopí,4,VU
Zipacón,3,VU
Zipaquirá,11,VU
Albán,9,CR
Arbeláez,2,CR
Beltrán,1,CR
Bojacá,2,CR
Cabrera,1,CR
Caparrapí,2,CR
Carmen de Carupa,4,CR
Chía,4,CR
Chipaque,1,CR
Choachí,1,CR
Cota,844,CR
Cucunubá,1,CR
El Colegio,8,CR
Fomeque,144,CR
Funza,63,CR
Fuquene,1526,CR
Fusagasugá,6,CR
Gachalá,2,CR
Gacheta,2,CR
Granada,1,CR
Guachetá,28,CR
Guasca,33,CR
Guayabetal,1,CR
Gutierrez,5,CR
Junín,14,CR
La Calera,41,CR
La Vega,2,CR
Madrid,1,CR
Mosquera,6,CR
Nilo,1,CR
Nocaima,4,CR
Pacho,2,CR
Paratebueno,2,CR
Pasca,55,CR
Ricaurte,1,CR
San Antonio del Tequendama,2,CR
San Bernardo,9,CR
San Francisco,1,CR
Sibaté,2,CR
Silvania,10,CR
Soacha,31,CR
Sopo,2,CR
Subachoque,5,CR
Susa,468,CR
Sutatausa,10,CR
Tabio,34,CR
Tenjo,1,CR
Tocaima,6,CR
Tocancipá,1,CR
Une,2,CR
Venecia,2,CR
Villa de San Diego de Ubaté,9,CR
Albán,13,EN
Anolaima,3,EN
Arbeláez,1,EN
Bojacá,24,EN
Cabrera,102,EN
Cachipay,7,EN
Cajicá,4,EN
Caparrapí,1,EN
Caqueza,8,EN
Carmen de Carupa,4,EN
Chía,3,EN
Chipaque,1,EN
Choachí,1,EN
Chocontá,6,EN
Cogua,12,EN
Cota,1601,EN
Cucunubá,5,EN
El Colegio,19,EN
El Rosal,12,EN
Facatativá,3,EN
Fomeque,94,EN
Fosca,1,EN
Funza,96,EN
Fuquene,540,EN
Fusagasugá,2,EN
Gachancipá,2,EN
Gacheta,1,EN
Girardot,2,EN
Granada,6,EN
Guachetá,25,EN
Guaduas,35,EN
Guasca,520,EN
Guatavita,19,EN
Guayabal de Siquima,1,EN
Guayabetal,665,EN
Gutierrez,1,EN
Junín,9,EN
La Calera,48,EN
La Mesa,3,EN
La Vega,7,EN
Madrid,3,EN
Medina,142,EN
Mosquera,46,EN
Pacho,4,EN
Paime,1,EN
Pasca,16,EN
Quetame,11,EN
San Antonio del Tequendama,20,EN
San Cayetano,5,EN
San Francisco,12,EN
Sasaima,2,EN
Sesquilé,1,EN
Sibaté,17,EN
Silvania,9,EN
Soacha,68,EN
Sopo,107,EN
Subachoque,30,EN
Suesca,14,EN
Supatá,2,EN
Susa,164,EN
Sutatausa,7,EN
Tabio,32,EN
Tausa,4,EN
Tena,12,EN
Tenjo,9,EN
Tibacuy,8,EN
Tocancipá,29,EN
Ubala,35,EN
Ubaque,2,EN
Une,2,EN
Venecia,1,EN
Vergara,1,EN
Villa de San Diego de Ubaté,9,EN
Villapinzón,3,EN
Villeta,10,EN
Yacopí,4,EN
Zipacón,2,EN
Zipaquirá,11,EN
